place,number,sex,time
462,6061,M,1:32:52
463,8735,M,1:32:53
464,9423,M,1:32:54
465,2871,M,1:32:55
466,5203,M,1:32:57
467,7340,M,1:32:59
468,3234,M,1:32:59
469,6952,M,1:32:59
470,4831,M,1:33:00
471,6854,M,1:33:02
472,7302,M,1:33:02
473,8786,M,1:33:03
474,9003,M,1:33:03
475,6173,M,1:33:04
476,6104,M,1:33:05
477,5282,M,1:33:05
478,6749,M,1:33:07
479,3143,M,1:33:07
480,1318,M,1:33:07
481,2763,M,1:33:07
482,4779,W,1:33:08
483,660,M,1:33:08
484,5247,M,1:33:09
485,6168,W,1:33:10
486,816,M,1:33:11
487,4962,M,1:33:11
488,3995,M,1:33:12
489,8021,M,1:33:12
490,7768,M,1:33:13
491,3142,M,1:33:13
492,2166,M,1:33:13
493,1628,M,1:33:15
494,5063,M,1:33:15
495,3869,M,1:33:17
496,7933,M,1:33:20
497,7561,M,1:33:21
498,3375,M,1:33:23
499,4131,M,1:33:25
500,7910,W,1:33:27
501,7953,M,1:33:27
502,4483,M,1:33:28
503,7293,M,1:33:28
504,6487,M,1:33:29
505,8789,M,1:33:29
506,1097,W,1:33:30
507,7105,M,1:33:30
508,6690,M,1:33:31
509,4226,W,1:33:33
510,3840,M,1:33:35
511,2979,M,1:33:35
512,8109,M,1:33:35
513,8062,M,1:33:36
514,7221,M,1:33:36
515,8677,M,1:33:37
516,3502,M,1:33:37
517,6881,M,1:33:39
518,4089,M,1:33:40
519,3332,M,1:33:41
520,4212,M,1:33:43
521,4366,M,1:33:44
522,3266,M,1:33:45
523,2435,M,1:33:46
524,7930,M,1:33:47
525,7831,M,1:33:47
526,8010,M,1:33:48
527,5507,M,1:33:48
528,8082,M,1:33:49
529,4874,W,1:33:51
530,9221,M,1:33:51
531,3977,M,1:33:52
532,3830,M,1:33:52
533,2310,M,1:33:53
534,5547,M,1:33:54
535,3965,M,1:33:55
536,6163,M,1:33:55
537,3627,M,1:33:57
538,9311,M,1:33:59
539,3419,M,1:34:00
540,6273,M,1:34:01
541,7730,M,1:34:02
542,6025,M,1:34:04
543,6994,M,1:34:07
544,1933,M,1:34:07
545,7182,M,1:34:07
546,5611,M,1:34:08
547,3817,M,1:34:08
548,4537,M,1:34:10
549,9199,W,1:34:10
550,8522,M,1:34:10
551,3806,M,1:34:11
552,7637,M,1:34:11
553,4428,W,1:34:12
554,7914,M,1:34:13
555,1126,M,1:34:13
556,9390,M,1:34:14
557,1284,M,1:34:16
558,1432,M,1:34:16
559,1634,M,1:34:17
560,5845,W,1:34:18
561,1998,M,1:34:21
562,2875,M,1:34:21
563,627,M,1:34:23
564,2852,M,1:34:23
565,6186,M,1:34:23
565,9332,W,1:34:23
567,3888,M,1:34:25
568,9224,W,1:34:26
569,8732,M,1:34:26
570,3590,M,1:34:27
571,4964,M,1:34:27
572,1824,M,1:34:29
573,6425,M,1:34:31
574,7017,M,1:34:34
575,4287,M,1:34:36
576,6189,M,1:34:36
577,3434,M,1:34:36
578,1636,M,1:34:37
579,6836,M,1:34:37
580,2145,M,1:34:38
581,4612,M,1:34:38
582,6960,M,1:34:39
583,6175,M,1:34:40
584,8594,M,1:34:40
585,1342,M,1:34:42
586,3482,W,1:34:45
587,7282,M,1:34:50
588,8490,M,1:34:52
589,1574,M,1:34:53
590,4847,W,1:34:55
591,6349,M,1:34:55
592,8438,M,1:34:56
593,6673,M,1:34:56
594,611,M,1:34:57
595,9464,M,1:34:57
596,8824,M,1:34:58
597,1532,M,1:34:59
598,1732,M,1:35:00
599,3405,M,1:35:00
600,5236,M,1:35:03
601,6207,M,1:35:03
602,2061,M,1:35:03
603,7154,M,1:35:03
604,3531,M,1:35:03
605,5085,M,1:35:03
606,6496,M,1:35:04
607,3333,M,1:35:05
607,7934,M,1:35:05
609,8542,M,1:35:05
610,3763,M,1:35:05
611,1641,M,1:35:06
612,767,M,1:35:07
613,1909,M,1:35:10
614,6123,M,1:35:11
615,7555,M,1:35:11
616,4888,M,1:35:12
617,703,M,1:35:12
618,7912,M,1:35:13
619,1898,M,1:35:14
620,3996,M,1:35:15
621,3956,W,1:35:17
622,8011,M,1:35:17
623,711,M,1:35:18
624,7649,M,1:35:18
625,5314,M,1:35:20
626,4458,M,1:35:26
627,8431,M,1:35:26
628,3973,M,1:35:28
629,8016,M,1:35:28
630,7175,M,1:35:29
631,4695,W,1:35:29
632,6502,M,1:35:31
633,8214,M,1:35:31
634,1989,M,1:35:32
635,7311,M,1:35:34
636,3012,M,1:35:34
637,9100,M,1:35:35
638,8982,M,1:35:38
639,4283,M,1:35:38
640,4116,M,1:35:40
641,3436,M,1:35:41
642,4127,M,1:35:43
643,8036,M,1:35:45
644,2092,M,1:35:46
645,8014,M,1:35:46
646,3868,M,1:35:50
647,3329,M,1:35:50
648,7241,M,1:35:51
649,7449,M,1:35:51
650,3080,M,1:35:52
651,4666,M,1:35:53
652,4827,M,1:35:53
653,1415,M,1:35:55
654,7514,M,1:35:56
655,8812,M,1:35:56
656,6820,M,1:35:56
657,7827,M,1:35:56
658,7826,W,1:35:57
659,6463,M,1:35:59
660,2353,M,1:35:59
661,5423,M,1:36:01
662,2071,M,1:36:03
663,7950,M,1:36:03
664,9058,W,1:36:03
665,7991,M,1:36:04
666,8696,M,1:36:04
667,8986,W,1:36:04
668,798,M,1:36:04
669,6489,M,1:36:08
670,7716,M,1:36:09
671,9147,M,1:36:10
672,641,W,1:36:10
673,7380,W,1:36:10
674,5826,M,1:36:11
675,8861,M,1:36:11
676,7974,M,1:36:11
677,6422,M,1:36:11
678,8044,M,1:36:11
679,4041,M,1:36:11
680,5234,M,1:36:12
681,2969,M,1:36:12
682,7166,M,1:36:13
683,4078,M,1:36:13
684,3697,M,1:36:14
685,7927,M,1:36:14
686,1538,M,1:36:15
687,2401,M,1:36:15
688,7643,M,1:36:15
689,3535,M,1:36:16
690,1116,M,1:36:16
691,8873,M,1:36:16
692,620,M,1:36:17
693,3583,M,1:36:18
694,6926,M,1:36:18
695,1709,M,1:36:19
696,1044,M,1:36:20
697,5062,W,1:36:20
698,1101,M,1:36:21
699,3047,M,1:36:22
700,3539,M,1:36:22
701,8093,M,1:36:24
702,2955,M,1:36:25
703,6782,M,1:36:25
704,6199,M,1:36:26
705,9243,M,1:36:27
706,4592,M,1:36:28
707,8872,M,1:36:28
708,5182,M,1:36:29
